script,matches_probe,readable
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/914AN0/functions.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/914AN0/run2_main.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/AGWJQJ/GSC_repcode_online_appendix_results.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/GZW94R/Analysis150421.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/HWVUER/sim-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/REKMDF/augPred_lab.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/REKMDF/ch04_2.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/REKMDF/ch06_1.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/REKMDF/ch08_1.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/REKMDF/contrMat.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/REKMDF/deparse.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/REKMDF/lme_1.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/REKMDF/nlme.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/REKMDF/nlme2.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/REKMDF/predict.lme.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/REKMDF/sigma-fixed-etc.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/REKMDF/updateLme.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/RY2CVR/12_demand_estimation.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/.checkpoint/2020-04-22/lib/x86_64-w64-mingw32/3.6.3/fixest/demo/femlm.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/.checkpoint/2020-04-22/lib/x86_64-w64-mingw32/3.6.3/fixest/doc/fixest_walkthrough.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/.checkpoint/2020-04-22/lib/x86_64-w64-mingw32/3.6.3/sandwich/doc/sim-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/RPackageSources/SourceCode/fixest/R/MiscFuns.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/RPackageSources/SourceCode/fixest/demo/femlm.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/RPackageSources/SourceCode/fixest/inst/doc/fixest_walkthrough.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/RPackageSources/SourceCode/sandwich/inst/doc/sim-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/RPackageSources/SourceCode/sandwich/vignettes/sim-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10145562/SBA_Code/renv/library/R-4.1/x86_64-w64-mingw32/sandwich/doc/sim-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/14807135/amenities_replication-submission_v2/code/2_estimation/housing_supply/1_housing_supply.R,False,True
