script,matches_probe,readable
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/2FDEFO/Replication Code.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/2ZXF9E/tab06-ied-report-results.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/4BDBFU/data_origin_robustness.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/4IVAV2/FullIV_cluster_inzip.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/4L6DQW/rscript-analysis.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/4NUQE3/10_table_6_validation.r,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/4NUQE3/1_table23.r,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/4NUQE3/2_table4.r,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/4NUQE3/4_bank_tables.r,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/4NUQE3/5_appendix_b2.r,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/4NUQE3/8_appendix_b5.r,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/4NUQE3/9_blackknight_figures.r,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/4NUQE3/helper_functions.r,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5DX7DP/analysis.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5DX7DP/analysis_budgetetal.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5DX7DP/analysis_govscale.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5DX7DP/analysis_selection.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5DX7DP/analysis_wa.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5DX7DP/rdd_govscale.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/1-table-1.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/2-table-2.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/3-table-3.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/5-figure-2b.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/7-figure-3b.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/SI-table-A1.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/SI-table-A10.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/SI-table-A11.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/SI-table-A12.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/SI-table-A13.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/SI-table-A14.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/SI-table-A15.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/SI-table-A16.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/SI-table-A2.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/SI-table-A3.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/5QJ0LE/SI-table-A4.R,False,True
