source,repo_id,doi,published,journal,in_window,title
dataverse,4NUQE3,https://doi.org/10.7910/DVN/4NUQE3,2023-06-06,JPE,False,
dataverse,BZWANC,https://doi.org/10.7910/DVN/BZWANC,2021-05-18,JAERE,False,
dataverse,CNQUN3,https://doi.org/10.7910/DVN/CNQUN3,2019-08-02,JAERE,False,
dataverse,HWVUER,https://doi.org/10.7910/DVN/HWVUER,2022-07-28,IOJ,False,
dataverse,IP6B94,https://doi.org/10.7910/DVN/IP6B94,2023-05-02,JAERE,False,
dataverse,QLG842,https://doi.org/10.7910/DVN/QLG842,2020-12-14,IOJ,False,
dataverse,R6XKG1,https://doi.org/10.7910/DVN/R6XKG1,2024-05-20,JAERE,False,
dataverse,TVMFQT,https://doi.org/10.7910/DVN/TVMFQT,2021-02-19,IOJ,False,
dataverse,UJZY4C,https://doi.org/10.7910/DVN/UJZY4C,2021-02-11,IOJ,False,
zenodo,10012820,https://doi.org/10.5281/zenodo.10012820,,,False,
zenodo,10145562,https://doi.org/10.5281/zenodo.10145562,,,False,
zenodo,13765850,https://doi.org/10.5281/zenodo.13765850,,,False,
