script,matches_probe,readable
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/FLXHAZ/trade_deforestation_appendix.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/FLXHAZ/trade_deforestation_replication.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/HWVUER/Ch-Validation.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/HWVUER/estimating-effects.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/HWVUER/sandwich-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/HWVUER/sandwich.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/HWVUER/sim-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/JXGZKX/ReplicationCodeMcNameeZhang2 2.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/R99Y4S/clusterBS.plm.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/R99Y4S/clusterwild.plm.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/RAX3SG/04_political_interest_results.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/.checkpoint/2020-04-22/lib/x86_64-w64-mingw32/3.6.3/AER/demo/Ch-Validation.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/.checkpoint/2020-04-22/lib/x86_64-w64-mingw32/3.6.3/sandwich/doc/sandwich-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/.checkpoint/2020-04-22/lib/x86_64-w64-mingw32/3.6.3/sandwich/doc/sandwich.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/.checkpoint/2020-04-22/lib/x86_64-w64-mingw32/3.6.3/sandwich/doc/sim-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/RPackageSources/SourceCode/AER/demo/Ch-Validation.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/RPackageSources/SourceCode/AER/tests/Ch-Validation.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/RPackageSources/SourceCode/sandwich/inst/doc/sandwich-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/RPackageSources/SourceCode/sandwich/inst/doc/sandwich.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/RPackageSources/SourceCode/sandwich/inst/doc/sim-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10145562/SBA_Code/renv/library/R-4.1/x86_64-w64-mingw32/AER/demo/Ch-Validation.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10145562/SBA_Code/renv/library/R-4.1/x86_64-w64-mingw32/sandwich/doc/sandwich-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10145562/SBA_Code/renv/library/R-4.1/x86_64-w64-mingw32/sandwich/doc/sandwich.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10145562/SBA_Code/renv/library/R-4.1/x86_64-w64-mingw32/sandwich/doc/sim-CL.R,False,True
