script,matches_probe,readable
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/2TC5TK/rep_Table_A1_part1.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/2TC5TK/rep_Table_C7.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ENO2J6/AB-trade.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ENO2J6/milner-ghana.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ENO2J6/milner-uganda.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/HWVUER/sandwich-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/HWVUER/sim-CL.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/IWTHDK/figures.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/KVFRFO/1_define_regression_helper_functions.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/YT863D/preparing_simulation_2.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ZTWOYY/import_imputed.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ZTWOYY/import_placebo.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ZTWOYY/import_regressions_main.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ZTWOYY/mid_imputed.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ZTWOYY/mid_placebo.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ZTWOYY/mid_regressions_main.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ZTWOYY/tableA11.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ZTWOYY/tableA13.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ZTWOYY/tableA5.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ZTWOYY/tableA6.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ZTWOYY/tableA7.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ZTWOYY/tableA8.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/ZTWOYY/tableA9.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/.checkpoint/2020-04-22/lib/x86_64-w64-mingw32/3.6.3/sandwich/doc/sandwich-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/.checkpoint/2020-04-22/lib/x86_64-w64-mingw32/3.6.3/sandwich/doc/sim-CL.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/RPackageSources/SourceCode/sandwich/inst/doc/sandwich-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/RPackageSources/SourceCode/sandwich/inst/doc/sim-CL.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/RPackageSources/SourceCode/sandwich/tests/vcovCL.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10012820/RPackageSources/SourceCode/sandwich/vignettes/sim-CL.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10145562/SBA_Code/renv/library/R-4.1/x86_64-w64-mingw32/sandwich/doc/sandwich-CL.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/10145562/SBA_Code/renv/library/R-4.1/x86_64-w64-mingw32/sandwich/doc/sim-CL.R,True,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/14040733/replication_v3/regression_scripts/MSL-model0.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/14040733/replication_v3/regression_scripts/MSL-model1.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/14040733/replication_v3/regression_scripts/MSL-model1bis.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/14040733/replication_v3/regression_scripts/MSL-model2.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/14040733/replication_v3/regression_scripts/MSL-model3.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/zenodo/14040733/replication_v3/regression_scripts/MSL-model3bis.R,False,True
