script,matches_probe,readable
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/0JFJ5V/Clark_Replication.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/2TC5TK/rep_Table_C5.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/2TC5TK/rep_Table_C6.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/8EHQWP/code_03_f_01_violence_id_correlation.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/8EHQWP/code_04_t_03_ate_violence.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/8EHQWP/code_05_t_04_violence_het_effects.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/8EHQWP/code_06_t_05_ate_status_int_inst_geo.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/8EHQWP/code_08_t_07_t_10_violence_id_correlation_tables.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/8EHQWP/code_09_t_11_identification_preferences_correlation.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/8EHQWP/code_10_t_12_refusal_rates.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/8EHQWP/code_13_t_13_t_14_bh_correction.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/8EHQWP/code_14_t_15_violence_protests_het_effects.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/8EHQWP/code_15_t_16_violence_het_effects_pca.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/8EHQWP/code_16_t_17_violence_het_effects_z_index.R,False,True
/Users/soodoku/Documents/GitHub/softverse/outputs/scripts/dataverse/8EHQWP/code_17_t_18_violence_het_effects_id_only.R,False,True
