package,version,outcome,r_version,platform,detail
AER,1.2-5,BUILT,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,
AER,1.2-6,BUILT,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,
MASS,7.3-0,FAILED,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,MASS.c:33:23: error: unknown type name 'Sint'; did you mean 'int'?
MatchIt,4.3.4,BUILT,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,
MatchIt,4.4.0,BUILT,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,
car,1.0-17,FAILED,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,ERROR: a 'NAMESPACE' file is required
car,1.0-18,FAILED,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,ERROR: a 'NAMESPACE' file is required
estimatr,0.12,BUILT,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,
estimatr,0.14,BUILT,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,
estimatr,0.4.0,BUILT,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,
estimatr,0.6.0,BUILT,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,
fixest,0.10.3,BUILT,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,
fixest,0.10.4,BUILT,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,
fixest,0.8.4,FAILED,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,parallel_funs.cpp:185:22: error: use of undeclared identifier 'DOUBLE_EPS'
fixest,0.9.0,BUILT,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,
lfe,2.4-1788,FAILED,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,factor.c:27:12: error: call to undeclared function 'Calloc'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
lfe,2.5-1968,FAILED,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,demean.c:634:10: error: call to undeclared function 'NAMED'; ISO C99 and later do not support implicit function declarations [-Wimplicit-function-declaration]
lmtest,0.9-34,BUILT,4.6.0,macOS-26.5.2-arm64-arm-64bit-Mach-O,
