package,probe,at,at_on,after,after_on,gaps,exact,shape_only,n_moved,max_reldiff,moved
car,delta_method.R,2.1-3,2016-08-11,2.1-2,2016-03-25,0,1,1,4,0,+product.2.5 %;+product.97.5 %;+ratio.2.5 %;+ratio.97.5 %
estimatr,dim_three_conditions.R,0.6.0,2018-03-28,0.4.0,2018-02-15,0,1,1,2,0,+p.value;+std.error
estimatr,dim_three_conditions.R,0.10.0,2018-07-12,0.8.0,2018-06-02,0,1,1,3,0,+conf.high;+conf.low;+statistic
estimatr,dim_weights_and_blocks.R,0.6.0,2018-03-28,0.4.0,2018-02-15,0,1,0,3,1.23826752788e-05,estimate;+p.value;+std.error
estimatr,dim_weights_and_blocks.R,0.10.0,2018-07-12,0.8.0,2018-06-02,0,1,1,1,0,+statistic
lmtest,bptest_aliased.R,0.9-35,2017-02-11,0.9-34,2015-06-06,0,1,0,2,0.333333333333,aliased.p.value;aliased.parameter
plm,pgmm_instrument_lags.R,1.3-1,2012-12-13,1.2-10,2012-05-05,0,1,0,4,0.999974489753,"coef.lag(y, 1);coef.x1;var.lag(y, 1);var.x1"
plm,pgmm_mtest_twoways.R,1.4-0,2013-12-28,1.3-1,2012-12-13,0,1,0,1,0.5,mtest.p.value
plm,phtest_between.R,1.5-12,2015-12-15,1.4-0,2013-12-28,0,1,0,2,0.0464686655353,aux.p.value;aux.statistic
plm,phtest_between.R,2.6-1,2022-03-05,1.5-12,2015-12-15,19,0,0,2,0.811440189622,between.p.value;between.statistic
psych,alpha_from_covariance.R,1.9.12.31,2020-01-08,1.9.12,2019-12-20,0,1,0,9,0.816105343386,total.G6(smc);total.S/N;total.average_r;total.median_r;total.raw_alpha;total.std.alpha;-total.ase;-total.mean;-total.sd
psych,alpha_from_covariance.R,2.2.9,2022-09-29,2.2.5,2022-05-10,0,1,0,1,0.00303395234986,total.G6(smc)
psych,alpha_missing.R,1.9.12.31,2020-01-08,1.9.12,2019-12-20,0,1,0,1,0.005660262039,total.G6(smc)
psych,alpha_missing.R,2.2.9,2022-09-29,2.2.5,2022-05-10,0,1,0,1,0.00303395234986,total.G6(smc)
psych,alpha_missing.R,2.4.1,2024-01-18,2.3.12,2023-12-20,0,1,0,5,0.00745558842508,total.G6(smc);total.S/N;total.average_r;total.median_r;total.std.alpha
psych,alpha_se.R,1.0-67,2009-03-27,1.0-65,2009-02-08,0,1,0,1,0.111111111111,total.average_r
psych,alpha_se.R,1.0-83,2009-10-26,1.0-81,2009-10-05,0,1,0,2,0.875,total.mean;total.sd
psych,alpha_se.R,1.9.12,2019-12-20,1.0-92,2010-09-22,41,0,1,3,2.71169753319e-11,+total.S/N;+total.ase;+total.median_r
psych,alpha_se.R,1.9.12.31,2020-01-08,1.9.12,2019-12-20,0,1,0,1,0.167719437646,total.G6(smc)
psych,icc_ci.R,1.0-93,2010-12-23,1.0-92,2010-09-22,0,1,0,24,0.00649641424411,icc.F[1];icc.F[2];icc.F[3];icc.F[4];icc.F[5];icc.F[6];icc.ICC[1];icc.ICC[2];icc.ICC[3];icc.ICC[4];icc.ICC[5];icc.ICC[6];icc.lower bound[1];icc.lower bound[2];icc.lower bound[3];icc.lower bound[4];icc.lower bound[5];icc.lower bound[6];icc.upper bound[1];icc.upper bound[2];icc.upper bound[3];icc.upper bound[4];icc.upper bound[5];icc.upper bound[6]
psych,icc_ci.R,1.8.3.3,2018-03-30,1.7.8,2017-09-09,0,1,0,11,1.44298443326e-07,icc.F[1];icc.F[2];icc.F[3];icc.F[4];icc.F[5];icc.F[6];icc.ICC[3];icc.lower bound[2];icc.lower bound[3];icc.lower bound[6];icc.upper bound[3]
psych,icc_ci.R,1.9.12,2019-12-20,1.8.12,2019-01-12,0,1,0,12,0.0335290946132,icc.lower bound[1];icc.lower bound[2];icc.lower bound[3];icc.lower bound[4];icc.lower bound[5];icc.lower bound[6];icc.upper bound[1];icc.upper bound[2];icc.upper bound[3];icc.upper bound[4];icc.upper bound[5];icc.upper bound[6]
psych,icc_ci.R,2.2.3,2022-03-19,2.1.9,2021-09-22,0,1,0,12,0.0335290946132,icc.lower bound[1];icc.lower bound[2];icc.lower bound[3];icc.lower bound[4];icc.lower bound[5];icc.lower bound[6];icc.upper bound[1];icc.upper bound[2];icc.upper bound[3];icc.upper bound[4];icc.upper bound[5];icc.upper bound[6]
sandwich,vcovhc_mlm.R,2.5-0,2018-08-17,2.4-0,2017-07-26,0,1,0,18,1.74815439005,vcovHC.y2:(Intercept).y:(Intercept);vcovHC.y2:(Intercept).y:x1;vcovHC.y2:(Intercept).y:x2;vcovHC.y2:x1.y:(Intercept);vcovHC.y2:x1.y:x1;vcovHC.y2:x1.y:x2;vcovHC.y2:x2.y:(Intercept);vcovHC.y2:x2.y:x1;vcovHC.y2:x2.y:x2;vcovHC.y:(Intercept).y2:(Intercept);vcovHC.y:(Intercept).y2:x1;vcovHC.y:(Intercept).y2:x2;vcovHC.y:x1.y2:(Intercept);vcovHC.y:x1.y2:x1;vcovHC.y:x1.y2:x2;vcovHC.y:x2.y2:(Intercept);vcovHC.y:x2.y2:x1;vcovHC.y:x2.y2:x2
survival,survfit_cluster_weights.R,3.6-4,2024-04-24,3.5-8,2024-02-14,0,1,0,224,1,n.event[10];n.event[12];n.event[14];n.event[15];n.event[16];n.event[17];n.event[18];n.event[19];n.event[21];n.event[22];n.event[23];n.event[24];n.event[25];n.event[26];n.event[28];n.event[31];n.event[32];n.event[33];n.event[34];n.event[36];n.event[37];n.event[38];n.event[39];n.event[3];n.event[40];n.event[5];n.event[6];n.event[7];n.event[8];std.err[10];std.err[11];std.err[12];std.err[13];std.err[14];std.err[15];std.err[16];std.err[17];std.err[18];std.err[19];std.err[20];std.err[21];std.err[22];std.err[23];std.err[24];std.err[25];std.err[26];std.err[27];std.err[28];std.err[29];std.err[30];std.err[31];std.err[32];std.err[33];std.err[34];std.err[35];std.err[36];std.err[37];std.err[38];std.err[39];std.err[3];std.err[40];std.err[41];std.err[4];std.err[5];std.err[6];std.err[7];std.err[8];std.err[9];surv[10];surv[11];surv[12];surv[13];surv[14];surv[15];surv[16];surv[17];surv[18];surv[19];surv[20];surv[21];surv[22];surv[23];surv[24];surv[25];surv[26];surv[27];surv[28];surv[29];surv[30];surv[31];surv[32];surv[33];surv[34];surv[35];surv[36];surv[37];surv[38];surv[39];surv[3];surv[40];surv[41];surv[4];surv[5];surv[6];surv[7];surv[8];surv[9];-n.event[42];-n.event[43];-n.event[44];-n.event[45];-n.event[46];-n.event[47];-n.event[48];-n.event[49];-n.event[50];-n.event[51];-n.event[52];-n.event[53];-n.event[54];-n.event[55];-n.event[56];-n.event[57];-n.event[58];-n.event[59];-n.event[60];-n.event[61];-n.event[62];-n.event[63];-n.event[64];-n.event[65];-n.event[66];-n.event[67];-n.event[68];-n.event[69];-n.event[70];-n.event[71];-n.event[72];-n.event[73];-n.event[74];-n.event[75];-n.event[76];-n.event[77];-n.event[78];-n.event[79];-n.event[80];-std.err[42];-std.err[43];-std.err[44];-std.err[45];-std.err[46];-std.err[47];-std.err[48];-std.err[49];-std.err[50];-std.err[51];-std.err[52];-std.err[53];-std.err[54];-std.err[55];-std.err[56];-std.err[57];-std.err[58];-std.err[59];-std.err[60];-std.err[61];-std.err[62];-std.err[63];-std.err[64];-std.err[65];-std.err[66];-std.err[67];-std.err[68];-std.err[69];-std.err[70];-std.err[71];-std.err[72];-std.err[73];-std.err[74];-std.err[75];-std.err[76];-std.err[77];-std.err[78];-std.err[79];-std.err[80];-surv[42];-surv[43];-surv[44];-surv[45];-surv[46];-surv[47];-surv[48];-surv[49];-surv[50];-surv[51];-surv[52];-surv[53];-surv[54];-surv[55];-surv[56];-surv[57];-surv[58];-surv[59];-surv[60];-surv[61];-surv[62];-surv[63];-surv[64];-surv[65];-surv[66];-surv[67];-surv[68];-surv[69];-surv[70];-surv[71];-surv[72];-surv[73];-surv[74];-surv[75];-surv[76];-surv[77];-surv[78];-surv[79];-surv[80]
