package,fixed_in,fixed_on,functions,scripts_exposed,text
fixest,0.13.0,,feols,117,"fix bug when a custom `vcov` is passed to `fixest::feols` with the `fixest::` prefix. Thanks to Kyle Butts, #540"
fixest,0.9.0,2021-06-19,feols,117,"Fix bug in `feols` when IV estimations contained fixed-effects and `lean = TRUE` (thanks to @adamaltmejd, #123)."
plm,2.4-2,2021-09-21,plm;vcovBK;vcovDC;vcovG;vcovHC;vcovNW;vcovSCC,97,"vcovG (hence vcovHC, vcovDC, vcovNW, vcovSCC) and vcovBK: fix bug in case of IV estimation with only one regressor (errored previously) ([#4](https://github.com/ycroissant/plm/issues/4))."
plm,1.5-13,,vcovHC,76,"fixed bug in vcovHC(..., method=""white"") from degenerating diag() if any group has only 1 element."
sandwich,2.5-0,2018-08-17,vcovHC,76,"Fix of a bug in `vcovHC.mlm()` (reported by James Pustejovsky). The off-diagonal values of the `vcovHC()` were computed without preserving the sign of the underlying residuals. This issue did not affect the diagonal because the underlying cross product amounts to squaring all values - but it does matter for the off-diagonal. Also, `type = ""const""` was disabled in this scenario and `vcov(...)` is simply used instead of `vcovHC(..., type = ""const"")`."
plm,2.2-1,2020-02-16,index,59,"index.pindex: fixed bug when individual index variable is called ""group"". ### Minor items:"
quantreg,4.24,,predict.rq;rq,58,3. Fixed a bug in predict.rq that involved factors. Fix required adding an xlevels object to the fitted rq object as in lm. Thanks to Sandy Weisberg for pointing out the bug.
quantreg,4.36,,rq;summary.rqs,58,1. Fixed bug in rq() that prevented contrasts from being properly propagated forward to summary.rqs when there were multiple taus. Thanks (yet again!) to Brian Cade for the bug report.
survival,3.8-1,,Surv;coxph;strata,56,"Changes needed to pass reverse dependency checks, largely tightening things up wrt to the formula fix. In summary, the survival package routines now ensure that anything in a formula that is a part of the package, is found in the package first. There is no need for things like coxph(survival::Surv(time, status) ~ ph.ecog + survival::strata(inst), data=lung), in fact you should not do this. Using survival::coxph rather than coxph is a completely different question, these updates have no bearing on that, only on functions within a formula. Note that prior to this update using survival::strata(inst) above would give the wrong answer; because :: mucks up formula processing the term would not be recognized as a stratum, and the resulting fit equivalent to using factor(inst)."
survival,2.41-2,2017-03-16,Surv;survfit;survreg,54,"With Surv(a,b, type='interval2') and a or b infinite, the infinite values were incorrectly retained rather then being transformed into left or right censoring. The downstream survfit and/or survreg results could then sometimes be in error."
survival,2.42-3,2018-04-16,Surv;coxph,54,"Fix minor bug in coxph: a covariate that was a constant would have its coefficent reported as 0 rather than NA, if (and only if) it was the only variable in the model, e.g., coxph(Surv(1:10) ~ rep(4,10))."
plm,1.5-9,,between;phtest,52,"phtest(., method=""aux"") [Hausman regression-based test]: fixed bug when data contain more cases than there are used in model estimation (due to NA values); avoid calc. of RE model a second time; phtest now also works with between model correctly (fixed degrees of freedom) tests/test_phtest_Hausman_regression.R added."
survival,2.35,,Surv;ratetable,51,"24 Feb 2010: Serious bug pointed out by Kevin Buhr. In Surv(time1, time2,stat) if there were i) missing values in time1 and/or time2, ii) illegal value sets with time1 >=time2, and iii) all the instances of ii do not preceed all the instances of i, then the wrong observation (not the illegal) will be thrown out. Repaired, and a new test added. Minor updates to 3 test files: survreg2, testci, ratetable."
car,1.0-18,2005-07-28,recode,46,Fixed bug in recode() that could cause values with mixed letters and numbers to be treated incorrectly (reported by David Dailey and Tom Mulholland).
car,1.2-13,2009-04-03,recode,46,Fixed bug in recode() (reported by Andrew McFadden).
car,2.0-7,2010-12-18,recode,46,"fixed bug in recode, when a legitimate string includes the characters ""else"" (reported by Gustaf Rydevik)."
survival,2.36-3,2011-02-15,coxph;strata;survfit,42,"1 Feb 2011: Update survfit.coxph to handle the case of a strata by covariate interaction. All prior releases of the code did this wrong, but it is a very rare case (found by Frank Harrell). Added a new test routine coxsurv4. Also found a bug in [.survfit; for a curve with both strata and multiple columns, as produced by survfit.coxph, it could drop the n.censored item when subscripting. A minor issue was fixed in coxph: when iter=0 the output coefficient vector should be equal to the input even when the variance is singular."
survival,3.7-2,,coxph;survfit,40,"Fix an inconsistency: survfit would label a transition from state 1 to 3 as ""1.3"", coxph as ""1:3"". Use a colon in both places."
sandwich,3.0-2,2022-06-15,vcovCL,37,"Bug fix in `vcovCL(..., type = ""HC2"")` for `glm` objects or `lm` objects with weights. The code had erroneously assumed that the hat matrices were all symmetric (as in the `lm` case without weights). This is corrected now. (Detected and reported by Bixi Zhang.)"
survival,3.2-5,,cox.zph;coxph;strata,35,"If multiple strata() terms were first in a coxph model, the labels of the assign component would be incorrect, which affected labeling of cox.zph results (numeric values were correct, however)."
survival,2.34,2007-10-15,coxph,33,"7Feb06: Fix a problem in the coxph iteration (coxfit2.c, coxfit5, agfit3, agfit5, agexact). It will likely never catch anyone again, even if I didn't fix it. In a particular data set, beta overshot and step halving was invoked. During step halving, a loglik happened to occur that was within eps of the prior step's loglik --- and the routine decided, erroneously, that it had converged! (A nice quadratic curve, a first guess b1 to the left of the desired max of the curve. The next guess b2 overshot and ends up with a lower loglik, on the right side of the max. Back up to the midpoint of b1 and b2, and this guess, still to the right of the max (still too large) has EXACTLY the same value of y as b1 did, but on the other side of the max from b1. ""Last two guesses give the same answer, I'm done"" said the routine)."
survival,2.36-13,2012-04-24,cluster;coxph,33,"Deprecate the ""robust"" option of coxph. When there are multiple observations per subject it is almost surely the wrong thing to do, while adding a ""cluster(id)"" term does the correct thing. When there is only one obs per subject both methods work correctly."
survival,2.36-5,2011-02-21,coxph,33,"18 Feb 2011: Bug in predict.coxph found by a user (1 day after 36-4!). If the coxph call had a subset and predict used newdata, the subset clause was ""remembered"" in the newdata construction, which is not appropriate."
survival,2.37-1,,coxph,33,"Fix a bug pointed out by Yi Zhang and Mickael Hartweg. If a coxph model used an offset, then a predicted survival curve that used newdata (and the offset variable of course) would be wrong, e.g. survival values > 1. A simple misplaced parenthesis was the cause. A recent paper by Langholz shows how to get absolute survival from case-control data using an offset, which seems to have suddenly made this feature popular."
