package,version,released,index,text
survival,3.8-9,2026-07-08,1,"Minor fix to model.matrix.coxph. Fixes a bug I introduced, which led to failure in reverse CRAN checks."
survival,3.8-9,2026-07-08,2,Submit to CRAN
survival,3.8-8,,1,"Add the timefix option to survSplit, after finding that the roundoff issue can affect it as well."
survival,3.8-8,,2,"Add full support for timeline style data, see the new timeline vignette. For multistate models this style data set is easier to constuct than the counting process variant (you don't need tmerge), so I suspect that users will shift to it for that use case. This addresses github issue 264."
survival,3.8-8,,3,"Parallel routines fromtimeline, Surv2data, timeline2counting had been added at various times, merge and remove all but fromtimeline, which is the oldest so most likely to have use."
survival,3.8-8,,4,"Add the first argument to lvcf, to better support yes/no variables."
survival,3.8-8,,5,"Note: the coxph, survcheck, survfit, and survSplit routines now accept a Surv2 argument, i.e., the routines that also allow Surv(time1, time2, status) format."
survival,3.8-7,,1,Found and changed the lines that caused failure in survfit with a non-syntactic name on the rhs. Add test badname.R. Github issues 232 and 330.
survival,3.8-7,,2,Fix issue with clogit and update(): any update that changed the data set size would fail; be more careful in constructing the fake survival time. Add to clogit.R test file. Github issue 331
survival,3.8-6,2026-01-16,1,"Small error in plot.survfit. If there were censoring at 20 and 40, say, a plot with xmax=30, mark.time=TRUE would add an incorrect censoring mark at 30."
survival,3.8-6,2026-01-16,2,"Issue with summary.survfitms when the times arg was a single value. A drop=FALSE was needed, or print.summary.survfitms failed."
survival,3.8-6,2026-01-16,3,Version pushed to CRAN
survival,3.8-5,,1,"Fix error in survfit_confint that showed up in a CRAN test (simple typo, but led to an error message)."
survival,3.8-5,,2,"Add a stronger test case for the data.frame option of summary.survfit and fix the errors it uncovered (github issue 305). The return for data.frame=TRUE has been changed to include the values from newdata rather than the row numbers of newdata. That is, for survfit from a coxph fit, if newdata had age=c(50,60) and sex=0:1, then the resuling data.frame will have age and sex variables rather than data=1 or 2."
survival,3.8-5,,3,"Add suggested text wrt to the actions of subset to the help files for coxph, survreg, and survfit. This parallels changes in lm and glm, see github issue 324."
survival,3.8-4,,1,"The rmean option for print.survfit for a single and multi state model were not in harmony when start.time was present. The former added start.time to the result, the second not. Make them agree (don't add it)."
survival,3.8-4,,2,"Fix error in stacker (called by coxph) that only arose if there were shared strata that differ in both starting and ending state. A rare case, but it arises with curves for TD covariates."
survival,3.8-4,,3,"Add the lvcf and nostutter functions, both useful when creating certain multistate data sets."
survival,3.8-4,,4,"Deprecate the type=""mstate"" option of Surv; a factor variable for 'status' is the better option."
survival,3.8-4,,5,"Add code to ignore the robust option to coxph for a penalized model; this combination makes no sense (to me) and does not appear in any examples. However, to my dismay a user pointed that in the current code this did not outright fail, and instead produces *something* that is returned as a purported variance. (Is is a sensible idea? I'm curious, but someone else will need to answer the question.)"
survival,3.8-4,,6,Fix error in survfit_confint that would sometime produce spurious NA. Export the survfit_confint function due to a request.
survival,3.8-4,,7,"Allow character indices for [.cox.zph, per github issue 299"
survival,3.8-4,,8,"Major update of residuals.coxphms, i.e., residuals from a multistate hazards model (MSH), i.e., create the necessary test suites to verify results. The Schoenfeld residuals, which have one row per observed event, gain a ""transition"" attribute."
survival,3.8-4,,9,"Add ""mark.col"" and ""cumprob"" options to plot.survfit. The latter is used for stacked plots of multistate data."
survival,3.8-4,,10,Address github issue 328.
