package,probe,opened,opened_on,opened_after,opened_after_on,closed,closed_on,closed_after,closed_after_on,start,end,exact,releases,lower_days,upper_days,opened_documented,closed_documented
estimatr,dim_three_conditions.R,0.2.0,2018-01-29,,,0.6.0,2018-03-28,0.4.0,2018-02-15,LEFT_CENSORED,CLOSED,0,2,17,58,0,1
estimatr,dim_three_conditions.R,0.6.0,2018-03-28,0.4.0,2018-02-15,0.10.0,2018-07-12,0.8.0,2018-06-02,OBSERVED,CLOSED,1,2,66,147,1,0
estimatr,dim_three_conditions.R,0.10.0,2018-07-12,0.8.0,2018-06-02,,,1.0.6,2025-02-28,OBSERVED,RIGHT_CENSORED,0,18,2423,,0,0
estimatr,dim_weights_and_blocks.R,0.2.0,2018-01-29,,,0.6.0,2018-03-28,0.4.0,2018-02-15,LEFT_CENSORED,CLOSED,0,2,17,58,0,1
estimatr,dim_weights_and_blocks.R,0.6.0,2018-03-28,0.4.0,2018-02-15,0.10.0,2018-07-12,0.8.0,2018-06-02,OBSERVED,CLOSED,1,2,66,147,1,0
estimatr,dim_weights_and_blocks.R,0.10.0,2018-07-12,0.8.0,2018-06-02,,,1.0.6,2025-02-28,OBSERVED,RIGHT_CENSORED,0,18,2423,,0,0
lmtest,bptest_aliased.R,0.9-17,2006-08-12,,,0.9-35,2017-02-11,0.9-34,2015-06-06,LEFT_CENSORED,CLOSED,0,18,3220,3836,0,1
lmtest,bptest_aliased.R,0.9-35,2017-02-11,0.9-34,2015-06-06,,,0.9-40,2022-03-21,OBSERVED,RIGHT_CENSORED,0,6,1864,,1,0
sandwich,vcovhc_mlm.R,2.2-4,2009-12-07,,,2.5-0,2018-08-17,2.4-0,2017-07-26,LEFT_CENSORED,CLOSED,0,13,2788,3175,0,1
sandwich,vcovhc_mlm.R,2.5-0,2018-08-17,2.4-0,2017-07-26,,,3.1-2,2026-07-12,OBSERVED,RIGHT_CENSORED,0,8,2886,,1,0
