entry_id,package,version,fixed_on,repo,issue,flagged_on,response_days,plausible
brms@1.10.0#0,brms,1.10.0,2017-09-09,paul-buerkner/brms,239,2017-07-18,53,1
brms@1.10.0#11,brms,1.10.0,2017-09-09,paul-buerkner/brms,256,2017-08-27,13,1
brms@1.10.0#12,brms,1.10.0,2017-09-09,paul-buerkner/brms,263,2017-09-06,3,1
brms@1.10.0#4,brms,1.10.0,2017-09-09,paul-buerkner/brms,259,2017-08-29,11,1
brms@1.10.0#7,brms,1.10.0,2017-09-09,paul-buerkner/brms,257,2017-08-27,13,1
brms@1.10.2#4,brms,1.10.2,2017-10-20,paul-buerkner/brms,276,2017-10-16,4,1
brms@1.10.2#5,brms,1.10.2,2017-10-20,paul-buerkner/brms,274,2017-10-13,7,1
brms@1.7.0#0,brms,1.7.0,2017-05-23,paul-buerkner/brms,221,2017-05-01,22,1
brms@1.7.0#1,brms,1.7.0,2017-05-23,paul-buerkner/brms,200,2017-03-23,61,1
brms@1.7.0#2,brms,1.7.0,2017-05-23,paul-buerkner/brms,198,2017-03-23,61,1
brms@1.7.0#4,brms,1.7.0,2017-05-23,paul-buerkner/brms,220,2017-04-28,25,1
brms@1.7.0#7,brms,1.7.0,2017-05-23,paul-buerkner/brms,158,2016-12-27,147,1
brms@1.7.0#8,brms,1.7.0,2017-05-23,paul-buerkner/brms,223,2017-05-08,15,1
brms@1.7.0#9,brms,1.7.0,2017-05-23,paul-buerkner/brms,222,2017-05-03,20,1
brms@2.0.0#0,brms,2.0.0,2017-12-15,paul-buerkner/brms,3,2015-09-30,807,1
brms@2.0.0#15,brms,2.0.0,2017-12-15,paul-buerkner/brms,288,2017-11-05,40,1
brms@2.0.0#16,brms,2.0.0,2017-12-15,paul-buerkner/brms,279,2017-10-22,54,1
brms@2.0.0#17,brms,2.0.0,2017-12-15,paul-buerkner/brms,286,2017-11-03,42,1
brms@2.0.0#3,brms,2.0.0,2017-12-15,paul-buerkner/brms,280,2017-10-26,50,1
brms@2.0.0#4,brms,2.0.0,2017-12-15,paul-buerkner/brms,283,2017-10-29,47,1
brms@2.0.0#6,brms,2.0.0,2017-12-15,paul-buerkner/brms,277,2017-10-21,55,1
brms@2.0.0#7,brms,2.0.0,2017-12-15,paul-buerkner/brms,224,2017-05-09,220,1
brms@2.0.0#8,brms,2.0.0,2017-12-15,paul-buerkner/brms,278,2017-10-21,55,1
brms@2.0.1#1,brms,2.0.1,2017-12-21,paul-buerkner/brms,302,2017-12-17,4,1
brms@2.1.0#0,brms,2.1.0,2018-01-23,paul-buerkner/brms,27,2016-01-15,739,1
brms@2.1.0#10,brms,2.1.0,2018-01-23,paul-buerkner/brms,306,2017-12-28,26,1
brms@2.1.0#10,brms,2.1.0,2018-01-23,paul-buerkner/brms,307,2017-12-29,25,1
brms@2.1.0#10,brms,2.1.0,2018-01-23,paul-buerkner/brms,331,2018-01-22,1,1
brms@2.1.0#11,brms,2.1.0,2018-01-23,paul-buerkner/brms,314,2018-01-10,13,1
brms@2.1.0#12,brms,2.1.0,2018-01-23,paul-buerkner/brms,320,2018-01-15,8,1
brms@2.1.0#2,brms,2.1.0,2018-01-23,paul-buerkner/brms,319,2018-01-15,8,1
brms@2.1.0#3,brms,2.1.0,2018-01-23,paul-buerkner/brms,190,2017-03-02,327,1
brms@2.1.0#4,brms,2.1.0,2018-01-23,paul-buerkner/brms,275,2017-10-15,100,1
brms@2.1.0#5,brms,2.1.0,2018-01-23,paul-buerkner/brms,327,2018-01-18,5,1
brms@2.1.0#9,brms,2.1.0,2018-01-23,paul-buerkner/brms,312,2018-01-08,15,1
brms@2.10.0#0,brms,2.10.0,2019-08-29,paul-buerkner/brms,712,2019-07-23,37,1
brms@2.10.0#1,brms,2.10.0,2019-08-29,paul-buerkner/brms,703,2019-07-09,51,1
brms@2.10.0#12,brms,2.10.0,2019-08-29,paul-buerkner/brms,706,2019-07-11,49,1
brms@2.10.0#13,brms,2.10.0,2019-08-29,paul-buerkner/brms,679,2019-06-03,87,1
brms@2.10.0#14,brms,2.10.0,2019-08-29,paul-buerkner/brms,678,2019-06-01,89,1
brms@2.10.0#15,brms,2.10.0,2019-08-29,paul-buerkner/brms,696,2019-07-04,56,1
brms@2.10.0#16,brms,2.10.0,2019-08-29,paul-buerkner/brms,672,2019-05-23,98,1
brms@2.10.0#18,brms,2.10.0,2019-08-29,paul-buerkner/brms,721,2019-08-01,28,1
brms@2.10.0#19,brms,2.10.0,2019-08-29,paul-buerkner/brms,740,2019-08-26,3,1
brms@2.10.0#2,brms,2.10.0,2019-08-29,paul-buerkner/brms,707,2019-07-12,48,1
brms@2.10.0#3,brms,2.10.0,2019-08-29,paul-buerkner/brms,403,2018-04-13,503,1
brms@2.10.0#4,brms,2.10.0,2019-08-29,paul-buerkner/brms,403,2018-04-13,503,1
brms@2.10.0#7,brms,2.10.0,2019-08-29,paul-buerkner/brms,680,2019-06-03,87,1
brms@2.10.0#9,brms,2.10.0,2019-08-29,paul-buerkner/brms,718,2019-07-31,29,1
brms@2.11.0#0,brms,2.11.0,2020-01-12,paul-buerkner/brms,675,2019-05-28,229,1
brms@2.11.0#10,brms,2.11.0,2020-01-12,paul-buerkner/brms,811,2019-12-19,24,1
brms@2.11.0#11,brms,2.11.0,2020-01-12,paul-buerkner/brms,813,2019-12-20,23,1
brms@2.11.0#12,brms,2.11.0,2020-01-12,paul-buerkner/brms,735,2019-08-23,142,1
brms@2.11.0#14,brms,2.11.0,2020-01-12,paul-buerkner/brms,644,2019-04-15,272,1
brms@2.11.0#2,brms,2.11.0,2020-01-12,paul-buerkner/brms,793,2019-11-23,50,1
brms@2.11.0#3,brms,2.11.0,2020-01-12,paul-buerkner/brms,779,2019-10-28,76,1
brms@2.11.0#4,brms,2.11.0,2020-01-12,paul-buerkner/brms,744,2019-09-03,131,1
brms@2.11.0#5,brms,2.11.0,2020-01-12,paul-buerkner/brms,756,2019-09-17,117,1
brms@2.11.0#9,brms,2.11.0,2020-01-12,paul-buerkner/brms,770,2019-10-04,100,1
brms@2.11.1#1,brms,2.11.1,2020-01-19,paul-buerkner/brms,824,2020-01-13,6,1
brms@2.11.1#2,brms,2.11.1,2020-01-19,paul-buerkner/brms,823,2020-01-13,6,1
brms@2.11.1#3,brms,2.11.1,2020-01-19,paul-buerkner/brms,828,2020-01-13,6,1
brms@2.11.1#4,brms,2.11.1,2020-01-19,paul-buerkner/brms,830,2020-01-16,3,1
brms@2.12.0#0,brms,2.12.0,2020-02-23,paul-buerkner/brms,783,2019-11-06,109,1
brms@2.12.0#1,brms,2.12.0,2020-02-23,paul-buerkner/brms,708,2019-07-15,223,1
brms@2.12.0#10,brms,2.12.0,2020-02-23,paul-buerkner/brms,838,2020-01-25,29,1
brms@2.12.0#11,brms,2.12.0,2020-02-23,paul-buerkner/brms,845,2020-02-01,22,1
brms@2.12.0#5,brms,2.12.0,2020-02-23,paul-buerkner/brms,705,2019-07-10,228,1
brms@2.12.0#7,brms,2.12.0,2020-02-23,paul-buerkner/brms,834,2020-01-19,35,1
brms@2.12.0#8,brms,2.12.0,2020-02-23,paul-buerkner/brms,844,2020-01-31,23,1
brms@2.12.0#9,brms,2.12.0,2020-02-23,paul-buerkner/brms,835,2020-01-21,33,1
brms@2.13.0#11,brms,2.13.0,2020-05-27,paul-buerkner/brms,867,2020-03-26,62,1
brms@2.13.0#12,brms,2.13.0,2020-05-27,paul-buerkner/brms,879,2020-04-19,38,1
brms@2.13.0#13,brms,2.13.0,2020-05-27,paul-buerkner/brms,884,2020-04-24,33,1
brms@2.13.0#14,brms,2.13.0,2020-05-27,paul-buerkner/brms,906,2020-05-20,7,1
brms@2.13.0#22,brms,2.13.0,2020-05-27,paul-buerkner/brms,873,2020-04-07,50,1
brms@2.13.0#4,brms,2.13.0,2020-05-27,paul-buerkner/brms,745,2019-09-05,265,1
brms@2.13.0#6,brms,2.13.0,2020-05-27,paul-buerkner/brms,886,2020-04-30,27,1
brms@2.13.0#7,brms,2.13.0,2020-05-27,paul-buerkner/brms,418,2018-04-29,759,1
brms@2.13.0#9,brms,2.13.0,2020-05-27,paul-buerkner/brms,855,2020-02-28,89,1
brms@2.13.0#9,brms,2.13.0,2020-05-27,paul-buerkner/brms,856,2020-02-28,89,1
brms@2.13.3#0,brms,2.13.3,2020-07-13,paul-buerkner/brms,924,2020-06-09,34,1
brms@2.13.3#1,brms,2.13.3,2020-07-13,paul-buerkner/brms,385,2018-03-15,851,1
brms@2.13.3#2,brms,2.13.3,2020-07-13,paul-buerkner/brms,919,2020-06-07,36,1
brms@2.13.3#3,brms,2.13.3,2020-07-13,paul-buerkner/brms,933,2020-06-23,20,1
brms@2.13.3#4,brms,2.13.3,2020-07-13,paul-buerkner/brms,915,2020-06-04,39,1
brms@2.13.5#0,brms,2.13.5,2020-07-31,paul-buerkner/brms,230,2017-06-27,1130,1
brms@2.13.5#0,brms,2.13.5,2020-07-31,paul-buerkner/brms,962,2020-07-19,12,1
brms@2.13.5#2,brms,2.13.5,2020-07-31,paul-buerkner/brms,956,2020-07-13,18,1
brms@2.14.0#0,brms,2.14.0,2020-10-08,paul-buerkner/brms,892,2020-05-06,155,1
brms@2.14.0#1,brms,2.14.0,2020-10-08,paul-buerkner/brms,973,2020-08-03,66,1
brms@2.14.0#10,brms,2.14.0,2020-10-08,paul-buerkner/brms,746,2019-09-06,398,1
brms@2.14.0#11,brms,2.14.0,2020-10-08,paul-buerkner/brms,738,2019-08-26,409,1
brms@2.14.0#12,brms,2.14.0,2020-10-08,paul-buerkner/brms,1012,2020-10-07,1,1
brms@2.14.0#13,brms,2.14.0,2020-10-08,paul-buerkner/brms,984,2020-08-17,52,1
brms@2.14.0#14,brms,2.14.0,2020-10-08,paul-buerkner/brms,977,2020-08-05,64,1
brms@2.14.0#16,brms,2.14.0,2020-10-08,paul-buerkner/brms,1007,2020-09-21,17,1
brms@2.14.0#2,brms,2.14.0,2020-10-08,paul-buerkner/brms,895,2020-05-09,152,1
brms@2.14.0#3,brms,2.14.0,2020-10-08,paul-buerkner/brms,674,2019-05-25,502,1
brms@2.14.0#4,brms,2.14.0,2020-10-08,paul-buerkner/brms,976,2020-08-05,64,1
brms@2.14.0#5,brms,2.14.0,2020-10-08,paul-buerkner/brms,819,2020-01-05,277,1
brms@2.14.0#7,brms,2.14.0,2020-10-08,paul-buerkner/brms,761,2019-09-20,384,1
brms@2.14.0#9,brms,2.14.0,2020-10-08,paul-buerkner/brms,993,2020-09-01,37,1
brms@2.14.4#8,brms,2.14.4,2020-11-03,paul-buerkner/brms,1014,2020-10-13,21,1
brms@2.15.0#0,brms,2.15.0,2021-03-14,paul-buerkner/brms,1017,2020-10-15,150,1
brms@2.15.0#0,brms,2.15.0,2021-03-14,paul-buerkner/brms,1053,2020-12-01,103,1
brms@2.15.0#10,brms,2.15.0,2021-03-14,paul-buerkner/brms,1111,2021-02-26,16,1
brms@2.15.0#11,brms,2.15.0,2021-03-14,paul-buerkner/brms,1087,2021-02-06,36,1
brms@2.15.0#12,brms,2.15.0,2021-03-14,paul-buerkner/brms,1033,2020-11-06,128,1
brms@2.15.0#13,brms,2.15.0,2021-03-14,paul-buerkner/brms,1034,2020-11-06,128,1
brms@2.15.0#18,brms,2.15.0,2021-03-14,paul-buerkner/brms,1085,2021-02-02,40,1
brms@2.15.0#19,brms,2.15.0,2021-03-14,paul-buerkner/brms,1081,2021-01-29,44,1
brms@2.15.0#20,brms,2.15.0,2021-03-14,paul-buerkner/brms,1086,2021-02-05,37,1
brms@2.15.0#21,brms,2.15.0,2021-03-14,paul-buerkner/brms,1096,2021-02-09,33,1
