package,function,scripts,chosen,contested,owners,package_calls,coverage
DescTools,Winsorize,10,1,0,DescTools,25.402146464646464,0.7873
DescTools,Mode,7,1,0,DescTools,25.402146464646464,0.7873
DescTools,Abind,3,1,0,DescTools,25.402146464646464,0.7873
DescTools,PseudoR2,2,0,0,DescTools,25.402146464646464,0.7873
DescTools,Closest,1,0,0,DescTools,25.402146464646464,0.7873
DescTools,GoodmanKruskalGamma,1,0,0,DescTools,25.402146464646464,0.7873
DescTools,RoundTo,1,0,0,DescTools,25.402146464646464,0.7873
DescTools,Recode,0.2708,0,1,DescTools;car,25.402146464646464,0.7873
DescTools,AUC,0.1313,0,1,DescTools;psych,25.402146464646464,0.7873
Hmisc,aregImpute,17,1,0,Hmisc,312.8333976596284,0.1566
Hmisc,fit.mult.impute,16,1,0,Hmisc,312.8333976596284,0.1566
Hmisc,upData,16,1,0,Hmisc,312.8333976596284,0.1566
Hmisc,describe,14.36,0,1,Hmisc;fields;psych;questionr,312.8333976596284,0.1566
Hmisc,wtd.mean,12.23,0,1,Hmisc;questionr,312.8333976596284,0.1566
Hmisc,summaryM,12,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,wtd.quantile,11,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,mask,10.9,0,1,Hmisc;raster,312.8333976596284,0.1566
Hmisc,wtd.var,10.35,0,1,Hmisc;questionr,312.8333976596284,0.1566
Hmisc,getHdata,10,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,Ecdf,8,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,llist,8,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,rcorr,8,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,approxExtrap,7,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,cut2,7,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,capitalize,6,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,plsmo,6,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,summaryP,6,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,translate,5,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,Function,4,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,addMarginal,4,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,binconf,4,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,hdquantile,4,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,mChoice,4,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,smean.cl.normal,4,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,stratify,4,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,summaryS,4,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,ceil,3,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,Cbind,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,Cs,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,areg,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,bootkm,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,bpplt,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,combine.levels,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,consolidate,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,dataframeReduce,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,dotchartpl,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,extractlabs,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,format.df,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,gbayesMixPost,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,grType,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,histSpike,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,histSpikeg,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,hlab,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,hlabs,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,hoeffd,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,inverseFunction,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,labelPlotmath,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,largest.empty,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,latexTabular,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,latexTherm,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,lm.fit.qr.bare,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,matxv,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,minor.tick,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,monotone,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,outerText,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,panel.plsmo,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,plotp,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,popower,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,prn,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,rcspline.plot,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,redun,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,rlegend,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,sasxport.get,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,simRegOrd,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,summaryD,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,summaryRc,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,vlab,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,xYplot,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,ynbind,2,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,completer,1,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,rMultinom,1,0,0,Hmisc,312.8333976596284,0.1566
Hmisc,rcorr.cens,1,0,0,Hmisc,312.8333976596284,0.1566
MASS,mvrnorm,54,1,0,MASS,221.6168152805336,0.5144
