package,usage,views
lmtest,480,Econometrics;Finance
MASS,459,Distributions;Econometrics;Environmetrics;MixedModels;Psychometrics;Robust
sandwich,421,Econometrics;Finance;Robust
car,358,Econometrics;Finance;MixedModels
Hmisc,253,Bayesian;Econometrics;MissingData
lme4,250,ClinicalTrials;Econometrics;Environmetrics;MixedModels;Psychometrics;SpatioTemporal
lfe,222,Econometrics
plm,189,CausalInference;Econometrics;MixedModels;SpatioTemporal
estimatr,180,CausalInference;Econometrics
arm,176,Bayesian
psych,172,Psychometrics
AER,145,Econometrics;Survival;TimeSeries
multiwayvcov,142,Econometrics
survey,134,OfficialStatistics;Survival
sf,108,Spatial;SpatioTemporal
margins,107,CausalInference;Econometrics;MixedModels
nnet,103,Econometrics;MachineLearning
Matching,102,CausalInference
sp,98,Spatial;SpatioTemporal
survival,96,ClinicalTrials;Econometrics;Survival
mediation,94,CausalInference;Epidemiology;Psychometrics
zoo,94,Econometrics;Environmetrics;Finance;MissingData;TimeSeries
rdrobust,86,CausalInference;Econometrics
MatchIt,85,CausalInference;ClinicalTrials;OfficialStatistics
Amelia,84,MissingData
boot,78,Econometrics;Survival;TimeSeries
effects,78,Econometrics;MachineLearning;MixedModels
pscl,76,Bayesian;Econometrics;Environmetrics;Psychometrics
raster,72,Spatial;SpatioTemporal
igraph,71,GraphicalModels;NetworkAnalysis
coda,66,Bayesian;GraphicalModels
Matrix,65,Econometrics;NetworkAnalysis
fixest,64,CausalInference;Econometrics
ggeffects,63,MixedModels
mvtnorm,60,Distributions;Finance
mgcv,59,Bayesian;Econometrics;Environmetrics;MixedModels;Spatial
ggmap,58,Spatial
memisc,55,MissingData;OfficialStatistics
rstan,55,Bayesian;MixedModels
rms,53,Econometrics;Survival
cjoint,51,CausalInference
interflex,51,CausalInference
MCMCpack,49,Bayesian;Distributions;Psychometrics;Survival
caret,47,MachineLearning;Spatial
spdep,46,Spatial
mice,43,ClinicalTrials;MissingData;MixedModels
miceadds,42,MissingData
rjags,42,Bayesian;Cluster;GraphicalModels;MixedModels
weights,40,OfficialStatistics
random,39,Distributions
sjmisc,39,MissingData
ordinal,38,Econometrics;MixedModels;Psychometrics
ebal,36,CausalInference
geosphere,36,Spatial
multcomp,34,ClinicalTrials;Survival
cem,33,CausalInference
glmnet,33,MachineLearning;Survival
lavaan,33,Econometrics;MissingData;MixedModels;Psychometrics
ltm,33,MissingData;Psychometrics
pastecs,32,Environmetrics;Spatial;SpatioTemporal;TimeSeries
aod,31,Econometrics;Environmetrics;MixedModels
cobalt,31,CausalInference;MissingData
randomForest,30,Environmetrics;MachineLearning;MissingData
clusterSEs,29,Econometrics;Robust
msm,29,Distributions;Survival
rgenoud,29,MachineLearning
mlogit,28,Econometrics
DescTools,26,AnomalyDetection;MissingData
rworldmap,26,OfficialStatistics
irr,25,Psychometrics
pwr,25,ClinicalTrials
sjlabelled,25,MissingData
sna,25,Bayesian;GraphicalModels;NetworkAnalysis
classInt,24,Spatial
clubSandwich,23,Econometrics;MetaAnalysis;MixedModels;Robust
cshapes,23,Spatial;SpatioTemporal
e1071,23,Cluster;Distributions;Environmetrics;MachineLearning;Psychometrics
nlme,23,ClinicalTrials;Econometrics;Environmetrics;Finance;MixedModels;OfficialStatistics;Psychometrics;Spatial;SpatioTemporal
sensemakr,23,CausalInference
tseries,23,Econometrics;Environmetrics;Finance;TimeSeries
lmerTest,22,MixedModels
systemfit,22,Econometrics;Psychometrics
brms,21,Bayesian;MetaAnalysis;MixedModels
marginaleffects,21,CausalInference;Econometrics;MixedModels
rddensity,21,Econometrics
mfx,20,Econometrics
FindIt,19,CausalInference
emmeans,19,MixedModels
mapdata,18,Spatial
network,18,GraphicalModels;NetworkAnalysis
rstanarm,18,Bayesian;MixedModels;Survival
tmap,18,OfficialStatistics;Spatial
did,17,CausalInference;Econometrics
fields,17,Spatial
gsynth,17,CausalInference;Econometrics;MissingData
optmatch,17,CausalInference
factoextra,16,Cluster
metafor,16,ClinicalTrials;MetaAnalysis
questionr,16,OfficialStatistics
strucchange,16,Econometrics;Environmetrics;Finance;TimeSeries
survminer,16,Survival
CBPS,15,CausalInference
MuMIn,15,MixedModels
coin,15,ClinicalTrials;Survival
grf,15,CausalInference;Econometrics;MachineLearning;MissingData
spatstat,15,Spatial;SpatioTemporal;Survival
ROCR,14,MachineLearning
bayesplot,14,Bayesian
broom.mixed,14,Bayesian;MixedModels
forecast,14,Econometrics;Environmetrics;Finance;MissingData;TimeSeries
naniar,14,MissingData
sampleSelection,14,CausalInference;Econometrics
PanelMatch,13,CausalInference
R2jags,13,Bayesian;Environmetrics;MixedModels
VGAM,13,Distributions;Econometrics;Environmetrics;ExtremeValue;Psychometrics
erer,13,Econometrics
ergm,13,GraphicalModels;NetworkAnalysis
statnet,13,NetworkAnalysis
stringdist,13,OfficialStatistics
betareg,12,Econometrics;Psychometrics
brglm,12,Econometrics
srvyr,12,OfficialStatistics
tidycensus,12,OfficialStatistics;Spatial
WDI,11,OfficialStatistics
polycor,11,Psychometrics
BayesTree,10,Bayesian;MachineLearning
logistf,10,ClinicalTrials
psy,10,Psychometrics
rmeta,10,ClinicalTrials;MetaAnalysis
rpart,10,Environmetrics;MachineLearning;Survival
xts,10,Econometrics;Finance;MissingData;SpatioTemporal;TimeSeries
