package,stratum,probability,weight,corpus,compiled,releases
fixest,case-study,0,0,64,1,34
Hmisc,certainty,1,1,253,1,88
MASS,certainty,1,1,459,1,78
car,certainty,1,1,358,0,91
lfe,certainty,1,1,222,1,64
lme4,certainty,1,1,250,1,137
lmtest,certainty,1,1,480,1,46
plm,certainty,1,1,189,0,50
sandwich,certainty,1,1,421,0,39
rms,high/compiled,0.115385,8.66667,53,1,56
spdep,high/compiled,0.115385,8.66667,46,1,154
survey,high/compiled,0.115385,8.66667,134,1,112
coda,high/pure-R,0.2,5,66,0,56
interflex,high/pure-R,0.2,5,51,0,9
mediation,high/pure-R,0.2,5,94,0,28
betareg,low/compiled,0.176471,5.66667,12,1,31
brglm,low/compiled,0.176471,5.66667,12,1,13
optmatch,low/compiled,0.176471,5.66667,17,1,48
broom.mixed,low/pure-R,0.130435,7.66667,14,0,11
did,low/pure-R,0.130435,7.66667,17,0,14
erer,low/pure-R,0.130435,7.66667,13,0,14
DescTools,medium/compiled,0.214286,4.66667,26,1,56
mapdata,medium/compiled,0.214286,4.66667,18,1,33
ordinal,medium/compiled,0.214286,4.66667,38,1,33
brms,medium/pure-R,0.115385,8.66667,21,0,62
clusterSEs,medium/pure-R,0.115385,8.66667,29,0,20
sensemakr,medium/pure-R,0.115385,8.66667,23,0,4
estimatr,screening,0,0,180,1,22
psych,screening,0,0,172,0,97
survival,screening,0,0,96,1,109
