rank,language,fname,packages,scripts,share,calls
1,R,rnorm,stats,690,0.0739,2467
2,R,lm,stats,643,0.0688,3948
3,R,quantile,stats,420,0.0450,2258
4,R,runif,stats,413,0.0442,1018
5,R,sd,stats,343,0.0367,1493
6,Python,randn,numpy.random,316,0.0507,1590
7,Python,seed,numpy.random,252,0.0404,1036
8,Python,RandomState,numpy.random,230,0.0369,1047
9,Python,rand,numpy.random,223,0.0358,1079
10,R,glm,stats,206,0.0220,1226
11,R,pnorm,stats,188,0.0201,2338
12,R,median,stats,185,0.0198,1018
13,Python,randint,numpy.random,147,0.0236,389
14,R,coeftest,lmtest,120,0.0128,904
15,R,feols,fixest,117,0.0125,1054
16,R,qnorm,stats,117,0.0125,455
17,R,cor,stats,116,0.0124,288
18,R,var,stats,114,0.0122,481
19,R,weighted.mean,stats,103,0.0110,591
20,R,dnorm,stats,99,0.0106,267
21,Python,random,numpy.random,98,0.0157,565
22,R,optim,stats,85,0.0091,151
23,Python,normal,numpy.random,84,0.0135,273
24,R,vcovHC,plm;sandwich,76,0.0081,445
25,R,rbinom,stats,74,0.0079,171
26,Python,uniform,numpy.random,73,0.0117,194
27,R,style.tex,fixest,69,0.0074,142
28,R,pt,stats,67,0.0072,188
29,R,model.response,stats,66,0.0071,114
30,R,pchisq,stats,66,0.0071,177
31,R,anova,stats,64,0.0069,275
32,Python,choice,numpy.random,64,0.0103,179
33,Python,permutation,numpy.random,63,0.0101,86
34,R,index,plm,59,0.0063,414
35,R,rq,quantreg,58,0.0062,118
36,R,dist,stats,55,0.0059,206
37,R,lm_robust,estimatr,55,0.0059,471
38,R,mvrnorm,MASS,54,0.0058,94
39,R,t.test,stats,54,0.0058,393
40,R,ts,stats,53,0.0057,110
41,R,qt,stats,52,0.0056,157
42,R,Surv,survival,51,0.0055,347
43,R,density,stats,51,0.0055,339
44,R,lm.fit,stats,49,0.0052,87
45,Python,minimize,scipy.optimize,46,0.0074,147
46,R,poly,stats,46,0.0049,1617
47,R,as.dendrogram,stats,45,0.0048,164
48,R,qbeta,stats,39,0.0042,103
49,R,rexp,stats,38,0.0041,42
50,R,rpois,stats,38,0.0041,104
51,R,matchit,MatchIt,37,0.0040,94
52,R,vcovCL,sandwich,37,0.0040,261
53,Python,weibull,numpy.random,37,0.0059,38
54,R,lmer,lme4,36,0.0039,269
55,R,window,stats,35,0.0037,140
56,R,coxph,survival,33,0.0035,278
57,R,hclust,stats,33,0.0035,192
58,R,pbeta,stats,33,0.0035,99
59,R,optimize,stats,32,0.0034,63
60,R,rgamma,stats,32,0.0034,37
61,Python,shuffle,numpy.random,32,0.0051,69
62,Python,LogisticRegression,sklearn.linear_model,31,0.0050,255
63,R,ginv,MASS,31,0.0033,125
64,R,rqss,quantreg,31,0.0033,46
65,R,linearHypothesis,car,30,0.0032,121
66,R,plm,plm,30,0.0032,327
67,R,qss,quantreg,30,0.0032,48
68,R,.l,fixest,29,0.0031,30
69,R,glm.nb,MASS,29,0.0031,138
70,R,persp,VGAM,29,0.0031,61
71,R,pf,stats,29,0.0031,95
72,R,cluster.vcov,multiwayvcov,28,0.0030,102
73,R,fixef,fixest;lme4;nlme;plm,28,0.0030,104
74,R,multinom,mgcv,28,0.0030,68
75,R,qchisq,stats,28,0.0030,57
76,R,sandwich,sandwich,28,0.0030,37
77,R,setFixest_dict,fixest,28,0.0030,43
78,Python,LinearRegression,sklearn.linear_model,27,0.0043,137
79,R,cov,stats,27,0.0029,121
80,R,pdata.frame,plm,27,0.0029,67
81,R,integrate,stats,26,0.0028,119
82,R,ivreg,AER;ivreg,26,0.0028,104
83,R,order.dendrogram,stats,26,0.0028,79
84,R,waldtest,lmtest,25,0.0027,76
85,Python,ols,statsmodels,24,0.0039,32
86,R,cutree,stats,23,0.0025,135
87,Python,default_rng,numpy.random,23,0.0037,42
88,R,reorder,stats,23,0.0025,52
89,R,uniroot,stats,23,0.0025,45
90,R,acf,stats,22,0.0024,65
91,R,lme,nlme,22,0.0024,102
92,Python,ppf,scipy.stats,22,0.0035,97
93,R,start,stats,22,0.0024,50
94,R,time,stats,22,0.0024,99
95,R,deriv,stats,21,0.0022,85
96,R,hat,stats,21,0.0022,87
97,R,estfun,fixest;sandwich,20,0.0021,29
98,R,match.data,MatchIt,20,0.0021,80
99,R,rchisq,stats,20,0.0021,34
100,R,rt,stats,20,0.0021,28
101,R,NeweyWest,sandwich,19,0.0020,84
102,R,delete.response,stats,19,0.0020,29
103,R,feglm,fixest,19,0.0020,40
104,R,is.leaf,stats,19,0.0020,59
105,R,printCoefmat,stats,19,0.0020,22
106,R,show,VGAM;lme4,19,0.0020,60
107,R,ave,stats,18,0.0019,40
108,Python,cdf,scipy.stats,18,0.0029,174
109,R,end,stats,18,0.0019,53
110,R,model.weights,stats,18,0.0019,23
111,R,polr,MASS,18,0.0019,149
112,R,rbeta,stats,18,0.0019,93
113,R,se,fixest;metafor,18,0.0019,102
114,R,deltamethod,metafor,17,0.0018,42
115,R,dpois,stats,17,0.0018,27
116,R,dwtest,lmtest,17,0.0018,17
117,R,ecdf,stats,17,0.0018,216
118,R,i,fixest,17,0.0018,49
119,R,laplace,VGAM,17,0.0018,25
120,R,qbinom,stats,17,0.0018,33
121,R,survfit,survival,17,0.0018,65
122,Python,Ridge,sklearn.linear_model,16,0.0026,80
123,R,cor.test,stats,16,0.0017,139
124,R,loess,stats,16,0.0017,53
125,R,qqnorm,stats,16,0.0017,34
126,R,splinefun,stats,16,0.0017,49
127,Python,OLS,statsmodels,15,0.0024,44
128,R,VarCorr,lme4;nlme;ordinal,15,0.0016,122
129,R,approxfun,stats,15,0.0016,103
130,R,bgtest,lmtest,15,0.0016,15
131,R,deltaMethod,car,15,0.0016,86
132,R,mediate,mediation,15,0.0016,106
133,R,model.extract,stats,15,0.0016,25
134,R,na.action,stats,15,0.0016,22
135,R,plogis,stats,15,0.0016,36
136,R,punif,stats,15,0.0016,45
